Nature		Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Total
Acid Attack		1	2	0	0	0	3	1	0	0	0	3	1	11
Bigamy / Polygamy		10	7	6	6	18	14	23	8	10	11	10	18	141
Cyber Crime against women		32	21	37	55	73	103	110	68	59	48	42	56	704
Denial of Maternity Benefits to women		9	10	13	2	6	13	5	9	9	6	8	6	96
Dowry death		32	17	18	9	27	27	49	32	29	26	37	27	330
Free legal aid for women		5	7	4	0	6	4	5	3	6	5	4	7	56
Gender Discrimination including equal right to education & work		1	0	0	1	1	0	5	0	1	0	2	0	11
Harassment of married women/Dowry harassment		267	221	203	62	159	273	493	352	372	429	509	448	3788
Indecent Representation of Women		2	1	1	1	8	3	1	3	4	2	3	0	29
Outraging modesty of women/Molestation		112	103	103	29	140	203	330	173	131	112	124	119	1679
Police Apathy against women		81	89	83	24	85	118	146	118	131	136	133	132	1276
Protection of Women against Domestic Violence		271	302	298	315	393	461	660	539	492	495	485	586	5297
Rape/Attempt to Rape		142	112	90	12	54	82	149	108	88	111	151	137	1236
Right to exercise choice in marriage/Honour Crimes		41	28	34	6	26	45	60	24	30	52	48	66	460
Right to live with dignity		374	436	388	239	474	611	778	613	889	873	1210	830	7715
Sex selective abortion / female foeticide / amniocentesis		0	0	0	0	0	0	2	0	0	0	4	2	8
Sexual Assault		12	10	19	4	1	8	14	9	5	4	11	13	110
Sexual Harassment		22	20	19	11	8	42	50	32	29	33	56	54	376
Sexual Harassment of Women at workplace		21	18	19	8	5	13	16	27	19	14	23	18	201
Stalking / Voyeurism		18	16	9	15	12	19	13	7	11	9	10	5	144
Traditional practices derogatory to women rights		0	0	0	0	0	0	0	0	0	2	2	0	4
"Trafficking / Prostitution of women
Cleck Here to see sub- categories"		6	4	3	1	2	1	4	2	2	4	8	3	40
Women's right of custody of children in the event of divorce		3	0	0	0	2	0	0	1	1	1	1	1	10
Total		1462	1424	1347	800	1500	2043	2914	2128	2318	2373	2884	2529	23722
