Year,Persons_Trial_Completed,Total_Persons_under_Trial
2001,6,51
2001,1414,3618
2001,3,350
2001,523,2868
2001,973,6936
2001,14,73
2001,912,5897
2001,10,42
2001,3,4
2001,323,2920
2001,34,89
2001,255,3476
2001,569,1590
2001,146,821
2001,140,1054
2001,381,1651
2001,328,1946
2001,169,3094
2001,0,1
2001,3005,11843
2001,1240,15651
2001,1,65
2001,13,283
2001,56,154
2001,6,64
2001,513,3542
2001,0,20
2001,373,915
2001,1457,6479
2001,7,10
2001,397,2100
2001,76,154
2001,1971,11456
2001,82,420
2001,760,6703
2002,3,57
2002,1031,3513
2002,5,376
2002,441,3051
2002,761,7089
2002,7,79
2002,2089,6154
2002,19,35
2002,0,1
2002,591,3050
2002,14,68
2002,298,3582
2002,590,1555
2002,170,851
2002,201,1111
2002,1149,3399
2002,403,1947
2002,256,3486
2002,1,1
2002,3721,12807
2002,1678,16215
2002,0,71
2002,2,302
2002,45,174
2002,14,73
2002,602,3856
2002,3,25
2002,462,998
2002,1600,5976
2002,3,5
2002,675,2335
2002,114,175
2002,2344,11553
2002,100,452
2002,570,7080
2003,6,55
2003,1037,3665
2003,0,397
2003,555,3472
2003,1067,7241
2003,27,104
2003,975,5159
2003,5,20
2003,0,4
2003,576,3055
2003,30,72
2003,313,3621
2003,649,1478
2003,174,837
2003,117,1173
2003,543,2959
2003,430,1892
2003,335,3743
2003,0,2
2003,3547,13978
2003,1628,16324
2003,4,75
2003,5,317
2003,121,181
2003,13,72
2003,713,4073
2003,1,25
2003,492,1009
2003,1343,5294
2003,1,5
2003,547,2244
2003,68,160
2003,1950,10306
2003,134,475
2003,695,7708
2004,4,60
2004,1247,3915
2004,8,439
2004,616,3781
2004,1176,7042
2004,24,97
2004,959,5324
2004,12,24
2004,0,9
2004,615,3163
2004,17,82
2004,385,3791
2004,512,1398
2004,164,837
2004,157,1321
2004,543,3108
2004,465,1820
2004,429,3943
2004,2,4
2004,3652,14601
2004,1771,16475
2004,5,73
2004,5,338
2004,3,70
2004,44,100
2004,764,4256
2004,4,28
2004,466,1041
2004,1141,4931
2004,4,6
2004,598,2419
2004,80,222
2004,2118,10136
2004,91,526
2004,984,8579
2005,9,64
2005,1227,3997
2005,23,463
2005,674,4110
2005,1224,6979
2005,27,99
2005,1084,4950
2005,9,20
2005,4,9
2005,1590,3396
2005,26,97
2005,360,3880
2005,552,1503
2005,232,863
2005,225,1397
2005,1535,2798
2005,565,1769
2005,416,4016
2005,0,2
2005,3598,14800
2005,1798,16792
2005,1,74
2005,3,367
2005,74,94
2005,32,77
2005,675,4314
2005,4,32
2005,392,1054
2005,1190,4877
2005,3,15
2005,820,2545
2005,151,274
2005,1928,9681
2005,111,650
2005,803,9592
2006,3,65
2006,1162,4008
2006,4,469
2006,720,4337
2006,1349,6864
2006,21,103
2006,913,4927
2006,8,14
2006,5,8
2006,612,2453
2006,8,90
2006,294,4071
2006,516,1700
2006,144,750
2006,177,1473
2006,948,2331
2006,507,1639
